id;key_instance_id;activation_key;license_id;is_active;activation_date
1;30068;killer;53593;false;2020-07-02
2;86491;Home Loan Account;70956;false;2020-07-03
3;49548;Checking Account;65043;true;2020-07-03
4;41279;Oregon Money Market Account Bedfordshire;16638;true;2020-07-02
5;48525;foreground innovative;79378;true;2020-07-02
6;3228;1080p sensor;17873;true;2020-07-03
7;60551;indexing;23086;true;2020-07-03
8;30064;Fundamental Rubber;77538;true;2020-07-03
9;65676;Engineer;65083;false;2020-07-03
10;87826;one-to-one optical Lempira;26804;false;2020-07-03
